address,district,neighbourhood,property_type,bedrooms,house_age_years,distance_to_western_km,price,listing_url
"82-1600 Culver Drive, London East, ON",London East,East H,Townhouse,3.0,40.0,7.02,299900,https://www.zolo.ca/london-east-real-estate/1600-culver-drive/82
"205-460 Wellington Street, London East, ON",London East,East F,Condo,2.0,100.0,3.41,325000,https://www.zolo.ca/london-east-real-estate/460-wellington-street/205
"21 Agincourt Place, London South, ON",London South,South T,House,2.0,75.0,8.28,699900,https://www.zolo.ca/london-south-real-estate/21-agincourt-place
"48-126 Belmont Drive, London South, ON",London South,South O,Townhouse,3.0,,7.08,399900,https://www.zolo.ca/london-south-real-estate/126-belmont-drive/48
"56 Forbes Street, London South, ON",London South,South E,House,3.0,100.0,4.8,469900,https://www.zolo.ca/london-south-real-estate/56-forbes-street
"210-727 Deveron Crescent, London South, ON",London South,South T,Condo,3.0,40.0,8.33,295000,https://www.zolo.ca/london-south-real-estate/727-deveron-crescent/210
"103-600 Talbot Street, London East, ON",London East,East F,Condo,2.0,40.0,2.77,375000,https://www.zolo.ca/london-east-real-estate/600-talbot-street/103
"617-480 Callaway Road, London North, ON",London North,North R,Condo,2.0,,3.61,549000,https://www.zolo.ca/london-north-real-estate/480-callaway-road/617
"1366 Kains Woods Terrace, London South, ON",London South,South A,House,4.0,,7.64,969900,https://www.zolo.ca/london-south-real-estate/1366-kains-woods-terrace
"224 Culver Crescent, London East, ON",London East,East H,House,4.0,,7.36,494900,https://www.zolo.ca/london-east-real-estate/224-culver-crescent
"307 Tweedsmuir Avenue, London East, ON",London East,East O,House,5.0,,8.41,499999,https://www.zolo.ca/london-east-real-estate/307-tweedsmuir-avenue
"2304-330 Ridout Street N, London East, ON",London East,East K,Condo,2.0,,3.67,599900,https://www.zolo.ca/london-east-real-estate/330-ridout-street-north/2304
"53 Cliftonvale Avenue, London South, ON",London South,South E,House,4.0,75.0,4.69,519000,https://www.zolo.ca/london-south-real-estate/53-cliftonvale-avenue
"55-144 Conway Drive, London South, ON",London South,South X,Condo,2.0,,8.84,259900,https://www.zolo.ca/london-south-real-estate/144-conway-drive/55
"1506-1105 Jalna Boulevard, London South, ON",London South,South X,Condo,1.0,,9.31,216995,https://www.zolo.ca/london-south-real-estate/1105-jalna-boulevard/1506
"24-2615 Colonel Talbot Road, London South, ON",London South,South K,House,4.0,23.0,8.73,869900,https://www.zolo.ca/london-south-real-estate/2615-colonel-talbot-road/24
"134 Sterling Street, London East, ON",London East,East C,House,3.0,100.0,3.88,464900,https://www.zolo.ca/london-east-real-estate/134-sterling-street
"95 Gerald Crescent, London South, ON",London South,South J,House,3.0,,7.54,624900,https://www.zolo.ca/london-south-real-estate/95-gerald-crescent
"301-521 Riverside Drive W, London North, ON",London North,North P,Condo,2.0,40.0,4.12,349900,https://www.zolo.ca/london-north-real-estate/521-riverside-drive-west/301
"872 Lovett Street, London East, ON",London East,East L,House,3.0,,5.36,424900,https://www.zolo.ca/london-east-real-estate/872-lovett-street
"208-260 Villagewalk Boulevard, London North, ON",London North,North R,Condo,2.0,,3.41,769000,https://www.zolo.ca/london-north-real-estate/260-villagewalk-boulevard/208
"24 Boullee Street, London East, ON",London East,East F,Townhouse,3.0,,4.14,329999,https://www.zolo.ca/london-east-real-estate/24-boullee-street
"12-535 Topping Lane, London South, ON",London South,South N,Townhouse,3.0,,5.79,484900,https://www.zolo.ca/london-south-real-estate/535-topping-lane/12
"38 Elliott Street, London East, ON",London East,East C,Townhouse,2.0,75.0,3.38,449900,https://www.zolo.ca/london-east-real-estate/38-elliott-street
"24-65 Fiddlers Green Road, London North, ON",London North,North P,Townhouse,2.0,40.0,5.37,649000,https://www.zolo.ca/london-north-real-estate/65-fiddlers-green-road/24
